movieId,isFresh,isRotten,isTopCritic,scoreSentiment,rating,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,movieRank,critic_score,audience_score
a2b255da-eb4d-3436-804b-fbe7b8732097,False,True,True,0,4,False,False,False,False,96,.570000,.680000
591fdf7c-5514-3d4b-89d5-d86b785eab41,False,True,False,0,3.5,False,False,False,False,68,.720000,.710000
99d1aa42-8232-3217-b3bd-f8b7b3640740,True,False,False,1,4,False,False,False,False,74,.720000,.600000
37409a82-f3ab-3187-b0da-efeefa489456,True,False,False,1,0.5,False,False,False,True,14,.930000,.980000
10b522a5-873e-3e15-bd8b-65a079ab0b09,True,False,False,1,4,True,False,True,False,89,.620000,.820000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,True,False,False,1,3.5,False,False,False,True,99,.560000,.750000
9510a895-440a-37d7-aa67-9f456126a2ab,True,False,False,1,5,False,False,False,True,17,.920000,.870000
37409a82-f3ab-3187-b0da-efeefa489456,False,True,False,0,4,False,False,False,False,14,.930000,.980000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,True,False,True,1,1.5,True,False,False,False,85,.630000,.830000
37409a82-f3ab-3187-b0da-efeefa489456,True,False,True,1,4,True,False,False,False,14,.930000,.980000
a58329c6-b146-31ae-b51c-b5ad4a4ec462,False,True,True,0,3,False,True,False,False,46,.830000,.590000
bfd2fd97-a33c-3aad-8684-772d88959b5a,False,True,True,0,4,False,True,False,False,57,.790000,.450000
42f2f1e9-670e-44db-80b9-7aaab25985b1,True,False,False,1,5,False,True,False,False,25,.900000,.820000
e53766b7-818f-30e6-bf9c-0a6cad01d08a,False,True,True,0,3,False,False,False,True,59,.790000,.780000
bfd2fd97-a33c-3aad-8684-772d88959b5a,False,True,False,0,1,True,False,False,False,57,.790000,.450000
e6eb9e3e-4a72-33a7-b44e-1f8cadf1dd8f,False,True,False,0,4.5,False,False,True,False,23,.900000,.890000
e6eb9e3e-4a72-33a7-b44e-1f8cadf1dd8f,False,True,True,0,4,True,False,False,False,23,.900000,.890000
a5235f6a-68cb-3d9c-ac34-711bc90d6f8f,False,True,True,0,5,False,False,True,False,82,.650000,.720000
7cfa215f-4b44-3188-9770-3ddd813d1c9f,True,False,True,1,2.5,False,False,True,True,93,.580000,.730000
1a3f1ed9-4b7a-3579-8e93-b6aabc7d627a,True,False,False,1,4,False,True,False,False,26,.900000,.910000
78566114-a33b-3c58-8a31-42bdb19ec6bd,False,True,True,0,0.5,False,False,False,True,61,.790000,.780000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,True,False,False,1,3.5,False,True,False,False,3,.960000,.790000
f03e65c8-70e8-34e2-bd3f-1a2efd916f3a,True,False,True,1,4.5,False,True,False,False,41,.850000,.940000
0ade96f4-c9f4-3691-9912-8e7319858082,True,False,True,1,0.5,False,False,True,False,24,.900000,.820000
8061ee78-2e4d-3285-922d-c6a107a0c32a,False,True,True,0,1.5,False,False,False,False,79,.670000,.690000
85a99b8b-4724-38b6-a5d0-23c0161a3ce5,False,True,False,0,1,False,False,False,False,28,.900000,.670000
da04703c-b0d8-3dee-8910-bc1387164fc1,True,False,False,1,4,False,False,False,True,45,.860000,.900000
fdffd790-fca7-3271-a10f-8af8858ef21a,False,True,False,0,3,False,False,False,False,73,.720000,.580000
37409a82-f3ab-3187-b0da-efeefa489456,True,False,False,1,3,False,False,False,True,14,.930000,.980000
60f1eca0-6a51-3cb2-95b6-3ab959ba6e87,False,True,True,0,3,True,False,False,False,37,.850000,.870000
be2237d2-7919-3bfb-a190-1a69f9dca460,True,False,False,1,1.5,False,True,False,False,92,.600000,.640000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,True,1,3.5,False,True,False,False,43,.840000,.850000
bfd2fd97-a33c-3aad-8684-772d88959b5a,True,False,False,1,2,False,True,False,False,57,.790000,.450000
487e9820-001e-3da7-b47b-37003a7d7bc9,False,True,False,0,3,False,True,False,False,15,.930000,.840000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,False,0,0.5,False,False,False,True,3,.960000,.790000
caf7974e-b836-3c04-95ab-3e77e3826a19,True,False,False,1,4,False,False,False,False,27,.900000,.920000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,False,0,4.5,False,True,False,False,3,.960000,.790000
1ce8792a-fb45-3bd8-a726-22005f03e075,False,True,False,0,1.5,False,True,False,False,100,.510000,.640000
0b50d1b4-e68f-380f-a68c-042ee9b3576f,False,True,False,0,4.5,False,False,False,False,39,.850000,.870000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,False,True,False,0,5,False,False,False,False,52,.820000,.730000
7cfa215f-4b44-3188-9770-3ddd813d1c9f,False,True,True,0,2,True,False,False,False,93,.580000,.730000
4128b2f6-8c69-396a-a83d-0d44eb90e5f7,True,False,True,1,3.5,False,True,False,False,94,.590000,.780000
7f605414-22e0-3e06-8ae0-bda0fc44b24e,True,False,False,1,4.5,False,False,False,False,35,.860000,.870000
94a040f3-e1db-33b0-b7aa-6187e1406d21,True,False,True,1,3.5,False,True,False,False,88,.630000,.290000
19b3ce59-1a84-3c4c-8bcf-0cd5e9c88cbf,True,False,False,1,1.5,False,False,False,False,7,.930000,.900000
41ca006b-8820-379c-84fc-aaae870b37f6,True,False,False,1,5,False,True,False,False,9,.940000,.910000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,False,1,4,False,False,False,True,43,.840000,.850000
a5235f6a-68cb-3d9c-ac34-711bc90d6f8f,False,True,False,0,3.5,False,True,False,False,82,.650000,.720000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,True,1,2,False,False,False,False,86,.630000,.760000
42f2f1e9-670e-44db-80b9-7aaab25985b1,True,False,False,1,2,False,False,False,True,25,.900000,.820000
a3c1635d-c568-3c85-92b5-0589ab91d24d,True,False,True,1,3,False,True,False,False,97,.570000,.670000
42f2f1e9-670e-44db-80b9-7aaab25985b1,True,False,True,1,1,True,False,False,False,25,.900000,.820000
42f2f1e9-670e-44db-80b9-7aaab25985b1,True,False,False,1,5,False,False,False,False,25,.900000,.820000
82319c4b-655b-3c25-8416-00222e21097f,True,False,True,1,2,False,False,False,False,60,.780000,.910000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,False,0,0.5,False,False,False,True,86,.630000,.760000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,True,1,1.5,False,False,False,False,4,.950000,.940000
9510a895-440a-37d7-aa67-9f456126a2ab,False,True,True,0,4.5,True,False,False,False,17,.920000,.870000
82319c4b-655b-3c25-8416-00222e21097f,False,True,False,0,4.5,False,False,False,True,60,.780000,.910000
4517f650-c60a-4edc-b37e-9236213c2b93,True,False,True,1,1.5,True,False,False,False,1,.970000,.940000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,True,1,3,True,False,True,False,86,.630000,.760000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,False,1,3,False,True,False,False,6,.940000,.900000
9d36e70e-2ede-34a5-9f2e-8eae12cf7731,True,False,False,1,4,False,True,False,True,58,.790000,.910000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,False,True,True,0,1.5,False,True,False,False,52,.820000,.730000
0ade96f4-c9f4-3691-9912-8e7319858082,False,True,True,0,4,False,True,False,True,24,.900000,.820000
42f2f1e9-670e-44db-80b9-7aaab25985b1,False,True,True,0,3,True,False,False,True,25,.900000,.820000
2f7c6810-7ef7-3a28-9462-c9f6f47b6b2b,False,True,True,0,0.5,False,True,False,False,90,.600000,.570000
9510a895-440a-37d7-aa67-9f456126a2ab,False,True,False,0,1.5,False,False,False,False,17,.920000,.870000
a5479658-16f1-3325-a16a-4181d84a215a,True,False,True,1,4,False,True,False,False,19,.920000,.840000
b301b885-1a2f-381f-a101-ce51ddaad5d3,False,True,True,0,1,False,False,False,False,76,.710000,.690000
94c0f3b6-6002-30d6-bdf1-bc878f7e6168,False,True,True,0,5,False,False,False,False,31,.890000,.860000
30a2404f-54da-31be-9de8-a847b4e3a21a,False,True,True,0,5,False,False,False,False,72,.730000,.720000
f6f45d63-ea78-3139-985f-e5dc17caf85e,True,False,True,1,4,False,True,False,False,65,.770000,.840000
74485c7b-8cec-3370-9b67-f5b17d46450c,False,True,False,0,5,False,True,False,False,62,.770000,.760000
85a99b8b-4724-38b6-a5d0-23c0161a3ce5,True,False,False,1,3,False,True,False,False,28,.900000,.670000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,False,1,4,False,False,False,False,6,.940000,.900000
9510a895-440a-37d7-aa67-9f456126a2ab,False,True,True,0,3.5,False,False,False,False,17,.920000,.870000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,True,0,2.5,True,False,False,True,86,.630000,.760000
27539355-4940-4c29-aaab-d3fe4dafa4ee,False,True,True,0,0.5,False,False,True,False,4,.950000,.940000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,False,0,4,False,False,False,True,95,.570000,.840000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,False,1,0.5,False,False,True,False,6,.940000,.900000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,False,0,3,True,False,False,True,86,.630000,.760000
618ab0ee-b32e-36d1-a1ea-6e608003cdf2,False,True,True,0,1,True,False,False,False,44,.830000,.940000
eed54fc4-8990-3bfd-bd98-f820427deaa2,True,False,False,1,4.5,False,False,False,False,95,.570000,.840000
8ef022ef-f88a-33c8-8f6e-ab87f5039eea,True,False,False,1,4.5,False,True,False,False,38,.850000,.920000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,True,False,True,1,1,False,True,False,False,52,.820000,.730000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,False,1,4.5,True,False,True,False,86,.630000,.760000
fdffd790-fca7-3271-a10f-8af8858ef21a,True,False,True,1,1,False,False,False,False,73,.720000,.580000
6263201f-baf8-3312-a482-f8dec3edd662,False,True,False,0,2,False,True,False,False,8,.940000,.940000
a5235f6a-68cb-3d9c-ac34-711bc90d6f8f,True,False,False,1,3.5,False,False,False,False,82,.650000,.720000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,False,True,False,0,2,False,True,False,False,52,.820000,.730000
74485c7b-8cec-3370-9b67-f5b17d46450c,False,True,True,0,1.5,False,False,False,False,62,.770000,.760000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,True,False,True,1,3,False,True,False,False,99,.560000,.750000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,False,True,True,0,4,False,False,False,False,99,.560000,.750000
caf7974e-b836-3c04-95ab-3e77e3826a19,False,True,False,0,2,False,True,False,False,27,.900000,.920000
591fdf7c-5514-3d4b-89d5-d86b785eab41,True,False,True,1,3,False,True,False,False,68,.720000,.710000
f362b9f5-57e0-3021-a310-ececbcf2f49f,True,False,True,1,1.5,False,False,False,False,20,.910000,.910000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,False,True,True,0,4,True,False,False,True,85,.630000,.830000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,False,True,False,0,1,False,False,False,True,85,.630000,.830000
37409a82-f3ab-3187-b0da-efeefa489456,False,True,False,0,1,True,False,False,False,14,.930000,.980000
1ce8792a-fb45-3bd8-a726-22005f03e075,False,True,True,0,0.5,False,False,False,True,100,.510000,.640000
60f1eca0-6a51-3cb2-95b6-3ab959ba6e87,True,False,True,1,0.5,False,False,True,False,37,.850000,.870000
a0c4ef79-5e4c-399c-98c7-bdab95639511,False,True,True,0,3,False,False,True,False,64,.760000,.820000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,False,True,True,0,2.5,False,False,False,True,99,.560000,.750000
63ccb184-5e57-33d2-889d-6dbc482d925f,False,True,False,0,5,False,False,False,True,30,.900000,.800000
10b522a5-873e-3e15-bd8b-65a079ab0b09,True,False,True,1,1,True,False,True,True,89,.620000,.820000
1a3f1ed9-4b7a-3579-8e93-b6aabc7d627a,True,False,False,1,3.5,False,True,False,False,26,.900000,.910000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,True,0,3.5,False,False,False,True,3,.960000,.790000
3fb4becd-fb43-3cd3-bae2-ae9f1de6afae,False,True,True,0,2,False,False,False,False,63,.770000,.810000
f03e65c8-70e8-34e2-bd3f-1a2efd916f3a,False,True,True,0,2.5,False,False,False,False,41,.850000,.940000
caf7974e-b836-3c04-95ab-3e77e3826a19,True,False,False,1,5,False,False,False,False,27,.900000,.920000
993ef3fc-36ca-36ec-9111-ee81a41c23d7,False,True,False,0,2,False,False,False,False,77,.710000,.640000
85a99b8b-4724-38b6-a5d0-23c0161a3ce5,False,True,False,0,3.5,False,True,False,False,28,.900000,.670000
0ade96f4-c9f4-3691-9912-8e7319858082,True,False,True,1,5,False,False,False,False,24,.900000,.820000
7602d2ab-c9bc-3439-9cd6-d3a06e81728e,True,False,False,1,4,False,True,False,False,70,.810000,.620000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,True,False,True,1,4.5,False,True,False,False,2,.970000,.750000
1ce8792a-fb45-3bd8-a726-22005f03e075,True,False,False,1,0.5,False,False,False,True,100,.510000,.640000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,True,0,1.5,False,False,False,False,86,.630000,.760000
eed54fc4-8990-3bfd-bd98-f820427deaa2,True,False,False,1,1.5,False,False,False,True,95,.570000,.840000
0607e8c6-88a2-34f4-9d0b-dc5cdd560dfe,True,False,False,1,4.5,False,False,False,False,53,.820000,.580000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,True,1,3.5,False,True,False,False,86,.630000,.760000
a5e462a4-3e04-3db8-8fc4-46ad1144edc7,True,False,True,1,5,False,True,False,True,13,.930000,.870000
78566114-a33b-3c58-8a31-42bdb19ec6bd,False,True,False,0,3,False,False,True,False,61,.790000,.780000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,False,1,1.5,False,False,True,False,4,.950000,.940000
ce1eed7d-d2cd-300f-b282-8d22697a212b,True,False,True,1,1.5,False,True,False,False,36,.860000,.710000
2f7c6810-7ef7-3a28-9462-c9f6f47b6b2b,False,True,False,0,1,False,True,False,False,90,.600000,.570000
19bc72d3-0e88-3fbe-8949-84db9d1c6fca,False,True,True,0,1,False,True,False,False,52,.820000,.730000
1a3f1ed9-4b7a-3579-8e93-b6aabc7d627a,False,True,True,0,4.5,False,False,False,True,26,.900000,.910000
f6f45d63-ea78-3139-985f-e5dc17caf85e,False,True,False,0,0.5,False,False,False,True,65,.770000,.840000
82319c4b-655b-3c25-8416-00222e21097f,True,False,False,1,3,True,False,False,True,60,.780000,.910000
4f15afc8-8852-3a4e-8285-1aac469e7a72,True,False,True,1,1,False,False,True,False,11,.940000,.510000
b923270d-59e5-3def-b2ea-dcf1ee2f0698,False,True,False,0,4,False,False,False,True,29,.900000,.910000
4517f650-c60a-4edc-b37e-9236213c2b93,True,False,True,1,2.5,False,False,False,True,1,.970000,.940000
aae65496-63fc-3abe-aa6b-aeec81862322,True,False,True,1,3.5,False,False,False,False,10,.940000,.860000
161dddb8-84c7-3ded-b9ed-0b2381422464,True,False,False,1,4,False,False,False,False,16,.930000,.820000
e53e6850-82b5-3727-a768-d99df185a901,True,False,True,1,3,False,False,False,False,84,.640000,.600000
f6f45d63-ea78-3139-985f-e5dc17caf85e,True,False,False,1,3,False,False,False,False,65,.770000,.840000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,False,1,2.5,False,False,False,False,6,.940000,.900000
f6f45d63-ea78-3139-985f-e5dc17caf85e,False,True,True,0,3.5,False,True,False,False,65,.770000,.840000
1a3f1ed9-4b7a-3579-8e93-b6aabc7d627a,False,True,False,0,5,False,True,False,False,26,.900000,.910000
a2b255da-eb4d-3436-804b-fbe7b8732097,False,True,False,0,2.5,False,True,False,False,96,.570000,.680000
1da13563-6c5d-35ad-ae18-257cc926feff,False,True,True,0,4,False,False,False,False,49,.820000,.830000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,False,True,False,0,2,False,False,False,False,2,.970000,.750000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,False,1,4,False,False,False,False,43,.840000,.850000
4517f650-c60a-4edc-b37e-9236213c2b93,True,False,True,1,5,False,False,False,True,1,.970000,.940000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,True,False,False,1,2,False,False,True,False,86,.630000,.760000
19b3ce59-1a84-3c4c-8bcf-0cd5e9c88cbf,False,True,True,0,4,False,True,False,False,7,.930000,.900000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,False,True,False,0,2.5,False,False,False,False,85,.630000,.830000
f6f45d63-ea78-3139-985f-e5dc17caf85e,False,True,False,0,2,False,False,False,True,65,.770000,.840000
a35e309a-6ed7-3731-a87b-703149c63705,True,False,True,1,4,False,True,False,False,21,.910000,.710000
27539355-4940-4c29-aaab-d3fe4dafa4ee,False,True,True,0,5,False,False,True,True,4,.950000,.940000
78566114-a33b-3c58-8a31-42bdb19ec6bd,False,True,True,0,5,False,True,False,False,61,.790000,.780000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,True,False,False,1,4,False,True,False,False,2,.970000,.750000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,True,1,4,False,False,False,False,43,.840000,.850000
993ef3fc-36ca-36ec-9111-ee81a41c23d7,True,False,False,1,1.5,False,False,False,False,77,.710000,.640000
7b2bcd9a-359f-3ffd-bbbd-abe9e5ce3f9e,True,False,True,1,5,False,False,True,False,6,.940000,.900000
df35d67b-c89e-30fa-bff5-c31006cc6ae4,True,False,True,1,4,False,True,False,False,42,.850000,.850000
13905397-4673-3e05-954d-8840645bebc2,True,False,True,1,3.5,False,True,False,False,83,.650000,.710000
9ddacc49-1918-3722-b5d9-4a1fa6b9b2a3,False,True,True,0,4.5,False,True,False,False,2,.970000,.750000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,True,False,False,1,2,False,True,False,False,3,.960000,.790000
b2edf9af-70bb-3795-bff0-8867843b4925,False,True,False,0,3.5,False,False,False,False,87,.630000,.510000
7736ffbf-e66b-3d05-b9a7-72d7286f8c09,True,False,True,1,3.5,False,False,False,False,78,.700000,.770000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,True,0,2.5,False,False,False,False,3,.960000,.790000
42f2f1e9-670e-44db-80b9-7aaab25985b1,False,True,True,0,3.5,False,True,False,False,25,.900000,.820000
2da44bd6-2a22-3238-a139-a40ab1769550,False,True,False,0,5,False,False,False,False,5,.950000,.900000
1df30a12-d169-3ac8-a113-af76a029eabc,True,False,True,1,2.5,False,False,False,False,75,.710000,.930000
1df30a12-d169-3ac8-a113-af76a029eabc,True,False,True,1,5,False,False,False,True,75,.710000,.930000
618ab0ee-b32e-36d1-a1ea-6e608003cdf2,True,False,True,1,3.5,False,False,False,False,44,.830000,.940000
7f605414-22e0-3e06-8ae0-bda0fc44b24e,True,False,True,1,5,False,False,False,True,35,.860000,.870000
0ade96f4-c9f4-3691-9912-8e7319858082,False,True,False,0,4,False,False,False,True,24,.900000,.820000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,False,1,5,False,False,True,True,4,.950000,.940000
0e71cf84-e236-3ed7-9d91-3df34e6b2fae,False,True,True,0,5,True,False,False,True,86,.630000,.760000
4cce0287-cff7-3d82-9914-ddf9ec69f986,True,False,True,1,4,False,False,True,False,33,.870000,.900000
bfd2fd97-a33c-3aad-8684-772d88959b5a,True,False,True,1,3,False,False,True,True,57,.790000,.450000
71e176b9-ce85-309f-b2f9-b9d18b60fce6,True,False,True,1,2,False,True,False,False,43,.840000,.850000
4865d1c4-d511-3596-b848-7d57f86841e6,False,True,True,0,4,True,False,False,False,18,.920000,.920000
60f1eca0-6a51-3cb2-95b6-3ab959ba6e87,True,False,False,1,4,True,False,True,False,37,.850000,.870000
eed54fc4-8990-3bfd-bd98-f820427deaa2,False,True,False,0,3,True,False,False,True,95,.570000,.840000
d786d56f-0745-3f2a-96c1-edf7a3711571,True,False,False,1,2.5,False,False,False,False,40,.850000,.900000
4172e53a-d9ad-361d-936d-af46759fe0de,True,False,True,1,2,False,False,False,False,66,.740000,.600000
a3c1635d-c568-3c85-92b5-0589ab91d24d,True,False,True,1,3.5,False,False,False,False,97,.570000,.670000
df35bb9d-ba7d-35c9-b9be-dd512991f2fe,True,False,False,1,4.5,False,False,False,False,91,.600000,.400000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,False,0,3,False,False,True,False,3,.960000,.790000
eed54fc4-8990-3bfd-bd98-f820427deaa2,True,False,False,1,5,False,False,False,False,95,.570000,.840000
6263201f-baf8-3312-a482-f8dec3edd662,True,False,True,1,5,False,False,False,True,8,.940000,.940000
618ab0ee-b32e-36d1-a1ea-6e608003cdf2,True,False,True,1,2,False,False,False,False,44,.830000,.940000
1df30a12-d169-3ac8-a113-af76a029eabc,False,True,False,0,4.5,False,False,False,False,75,.710000,.930000
13905397-4673-3e05-954d-8840645bebc2,True,False,True,1,1,False,True,False,False,83,.650000,.710000
e53e6850-82b5-3727-a768-d99df185a901,False,True,False,0,2,False,False,False,False,84,.640000,.600000
a0c4ef79-5e4c-399c-98c7-bdab95639511,False,True,False,0,2.5,False,False,True,False,64,.760000,.820000
e1374d4d-19b0-31b2-a6cc-c4189f2b27ca,False,True,True,0,5,False,False,True,True,3,.960000,.790000
aae65496-63fc-3abe-aa6b-aeec81862322,True,False,True,1,3,False,True,False,False,10,.940000,.860000
0607e8c6-88a2-34f4-9d0b-dc5cdd560dfe,True,False,True,1,4.5,False,False,False,False,53,.820000,.580000
7807e2b5-72d7-3dc7-8cd4-b9482b82fe01,False,True,True,0,2,True,False,False,True,85,.630000,.830000
78566114-a33b-3c58-8a31-42bdb19ec6bd,True,False,True,1,2.5,True,False,False,True,61,.790000,.780000
78566114-a33b-3c58-8a31-42bdb19ec6bd,True,False,True,1,4,True,False,True,True,61,.790000,.780000
a0d8e1e3-2f44-3ceb-9576-fe587dac6a24,True,False,True,1,2.5,False,True,False,False,48,.830000,.850000
37409a82-f3ab-3187-b0da-efeefa489456,True,False,False,1,4.5,False,False,True,True,14,.930000,.980000
0b50d1b4-e68f-380f-a68c-042ee9b3576f,False,True,False,0,5,True,False,False,False,39,.850000,.870000
27539355-4940-4c29-aaab-d3fe4dafa4ee,True,False,True,1,2,False,False,True,True,4,.950000,.940000
a0c4ef79-5e4c-399c-98c7-bdab95639511,True,False,False,1,4.5,False,False,False,True,64,.760000,.820000
3fbc9d82-14f0-3592-a00c-4f67b2a0da70,True,False,True,1,3,False,False,True,False,99,.560000,.750000
